sample,fastq_1,fastq_2,antibody,control
H3K4me1_LAPC4_R1881_REP3,/input/input/SRR11518281.fastq.gz,,H3K4me1,H3K4me1_LAPC4_Control_REP3
H3K4me1_LAPC4_R1881_REP2,/input/input/SRR11518280.fastq.gz,,H3K4me1,H3K4me1_LAPC4_Control_REP2
H3K4me1_LAPC4_R1881_REP1,/input/input/SRR11518279.fastq.gz,,H3K4me1,H3K4me1_LAPC4_Control_REP1
H3K4me1_LAPC4_Daro_REP3,/input/input/SRR11518278.fastq.gz,,H3K4me1,H3K4me1_LAPC4_Control_REP3
H3K4me1_LAPC4_Daro_REP2,/input/input/SRR11518277.fastq.gz,,H3K4me1,H3K4me1_LAPC4_Control_REP2
H3K4me1_LAPC4_Daro_REP1,/input/input/SRR11518276.fastq.gz,,H3K4me1,H3K4me1_LAPC4_Control_REP1
H3K4me1_LAPC4_Control_REP3,/input/input/SRR11518275.fastq.gz,,,
H3K4me1_LAPC4_Control_REP2,/input/input/SRR11518274.fastq.gz,,,
H3K4me1_LAPC4_Control_REP1,/input/input/SRR11518273.fastq.gz,,,
H3K27ac_LAPC4_Daro_REP3,/input/input/SRR11518272.fastq.gz,,H3K27ac,H3K27ac_LAPC4_Control_REP3
H3K27ac_LAPC4_Daro_REP2,/input/input/SRR11518271.fastq.gz,,H3K27ac,H3K27ac_LAPC4_Control_REP2
H3K27ac_LAPC4_Daro_REP1,/input/input/SRR11518270.fastq.gz,,H3K27ac,H3K27ac_LAPC4_Control_REP1
H3K27ac_LAPC4_R1881_REP3,/input/input/SRR11518269.fastq.gz,,H3K27ac,H3K27ac_LAPC4_Control_REP3
H3K27ac_LAPC4_R1881_REP2,/input/input/SRR11518268.fastq.gz,,H3K27ac,H3K27ac_LAPC4_Control_REP2
H3K27ac_LAPC4_R1881_REP1,/input/input/SRR11518267.fastq.gz,,H3K27ac,H3K27ac_LAPC4_Control_REP1
H3K27ac_LAPC4_Control_REP3,/input/input/SRR11518266.fastq.gz,,,
H3K27ac_LAPC4_Control_REP2,/input/input/SRR11518265.fastq.gz,,,
H3K27ac_LAPC4_Control_REP1,/input/input/SRR11518264.fastq.gz,,,
AR_LAPC4_Daro_REP3,/input/input/SRR11518263.fastq.gz,,AR,AR_LAPC4_Control_REP3
AR_LAPC4_Daro_REP2,/input/input/SRR11518262.fastq.gz,,AR,AR_LAPC4_Control_REP2
AR_LAPC4_Daro_REP1,/input/input/SRR11518261.fastq.gz,,AR,AR_LAPC4_Control_REP1
AR_LAPC4_R1881_REP3,/input/input/SRR11518260.fastq.gz,,AR,AR_LAPC4_Control_REP3
AR_LAPC4_R1881_REP2,/input/input/SRR11518259.fastq.gz,,AR,AR_LAPC4_Control_REP2
AR_LAPC4_R1881_REP1,/input/input/SRR11518258.fastq.gz,,AR,AR_LAPC4_Control_REP1
AR_LAPC4_Control_REP3,/input/input/SRR11518257.fastq.gz,,,
AR_LAPC4_Control_REP2,/input/input/SRR11518256.fastq.gz,,,
AR_LAPC4_Control_REP1,/input/input/SRR11518255.fastq.gz,,,
RNAPII_VCaP_R1881_REP3,/input/input/SRR11518254.fastq.gz,,RNAPII,RNAPII_VCaP_Control_REP3
RNAPII_VCaP_R1881_REP2,/input/input/SRR11518253.fastq.gz,,RNAPII,RNAPII_VCaP_Control_REP2
RNAPII_VCaP_R1881_REP1,/input/input/SRR11518252.fastq.gz,,RNAPII,RNAPII_VCaP_Control_REP1
RNAPII_VCaP_Daro_REP3,/input/input/SRR11518251.fastq.gz,,RNAPII,RNAPII_VCaP_Control_REP3
RNAPII_VCaP_Daro_REP2,/input/input/SRR11518250.fastq.gz,,RNAPII,RNAPII_VCaP_Control_REP2
RNAPII_VCaP_Daro_REP1,/input/input/SRR11518249.fastq.gz,,RNAPII,RNAPII_VCaP_Control_REP1
RNAPII_VCaP_Control_REP3,/input/input/SRR11518248.fastq.gz,,,
RNAPII_VCaP_Control_REP2,/input/input/SRR11518247.fastq.gz,,,
RNAPII_VCaP_Control_REP1,/input/input/SRR11518246.fastq.gz,,,
Med1_VCAP_R1881_REP3,/input/input/SRR11518245.fastq.gz,,Med1,Med1_VCAP_Control_REP3
Med1_VCAP_R1881_REP2,/input/input/SRR11518244.fastq.gz,,Med1,Med1_VCAP_Control_REP2
Med1_VCAP_R1881_REP1,/input/input/SRR11518243.fastq.gz,,Med1,Med1_VCAP_Control_REP1
Med1_VCAP_Daro_REP3,/input/input/SRR11518242.fastq.gz,,Med1,Med1_VCAP_Control_REP3
Med1_VCAP_Daro_REP2,/input/input/SRR11518241.fastq.gz,,Med1,Med1_VCAP_Control_REP2
Med1_VCAP_Daro_REP1,/input/input/SRR11518240.fastq.gz,,Med1,Med1_VCAP_Control_REP1
Med1_VCAP_Control_REP3,/input/input/SRR11518239.fastq.gz,,,
Med1_VCAP_Control_REP2,/input/input/SRR11518238.fastq.gz,,,
Med1_VCAP_Control_REP1,/input/input/SRR11518237.fastq.gz,,,
H3K4m1_VCaP_R1881_REP2,/input/input/SRR11518236.fastq.gz,,H3K4m1,H3K4m1_VCaP_Control_REP2
H3K4m1_VCaP_R1881_REP1,/input/input/SRR11518235.fastq.gz,,H3K4m1,H3K4m1_VCaP_Control_REP1
H3K4m1_VCaP_Daro_REP3,/input/input/SRR11518234.fastq.gz,,H3K4m1,H3K4m1_VCaP_Control_REP3
H3K4m1_VCaP_Daro_REP2,/input/input/SRR11518233.fastq.gz,,H3K4m1,H3K4m1_VCaP_Control_REP2
H3K4m1_VCaP_Daro_REP1,/input/input/SRR11518232.fastq.gz,,H3K4m1,H3K4m1_VCaP_Control_REP1
H3K4m1_VCaP_Control_REP4,/input/input/SRR11518231.fastq.gz,,,
H3K4m1_VCaP_Control_REP3,/input/input/SRR11518230.fastq.gz,,,
H3K4m1_VCaP_Control_REP2,/input/input/SRR11518229.fastq.gz,,,
H3K4m1_VCaP_Control_REP1,/input/input/SRR11518228.fastq.gz,,,
H3K27ac_VCaP_R1881_REP2,/input/input/SRR11518227.fastq.gz,,H3K27ac,H3K27ac_VCaP_Control_REP2
H3K27ac_VCaP_R1881_REP1,/input/input/SRR11518226.fastq.gz,,H3K27ac,H3K27ac_VCaP_Control_REP1
H3K27ac_VCaP_Daro_REP3,/input/input/SRR11518225.fastq.gz,,H3K27ac,H3K27ac_VCaP_Control_REP3
H3K27ac_VCaP_Daro_REP2,/input/input/SRR11518224.fastq.gz,,H3K27ac,H3K27ac_VCaP_Control_REP2
H3K27ac_VCaP_Daro_REP1,/input/input/SRR11518223.fastq.gz,,H3K27ac,H3K27ac_VCaP_Control_REP1
H3K27ac_VCaP_Control_REP3,/input/input/SRR11518222.fastq.gz,,,
H3K27ac_VCaP_Control_REP2,/input/input/SRR11518221.fastq.gz,,,
H3K27ac_VCaP_Control_REP1,/input/input/SRR11518220.fastq.gz,,,
H3K18ac_VCaP_R1881_REP3,/input/input/SRR11518219.fastq.gz,,H3K18ac,H3K18ac_VCaP_Control_REP3
H3K18ac_VCaP_R1881_REP2,/input/input/SRR11518218.fastq.gz,,H3K18ac,H3K18ac_VCaP_Control_REP2
H3K18ac_VCaP_R1881_REP1,/input/input/SRR11518217.fastq.gz,,H3K18ac,H3K18ac_VCaP_Control_REP1
H3K18ac_VCaP_Daro_REP3,/input/input/SRR11518216.fastq.gz,,H3K18ac,H3K18ac_VCaP_Control_REP3
H3K18ac_VCaP_Daro_REP2,/input/input/SRR11518215.fastq.gz,,H3K18ac,H3K18ac_VCaP_Control_REP2
H3K18ac_VCaP_Daro_REP1,/input/input/SRR11518214.fastq.gz,,H3K18ac,H3K18ac_VCaP_Control_REP1
H3K18ac_VCaP_Control_REP3,/input/input/SRR11518213.fastq.gz,,,
H3K18ac_VCaP_Control_REP2,/input/input/SRR11518212.fastq.gz,,,
H3K18ac_VCaP_Control_REP1,/input/input/SRR11518211.fastq.gz,,,
H2Bk15ac_VCAP_R1881_REP3,/input/input/SRR11518210.fastq.gz,,H2Bk15ac,H2Bk15ac_VCAP_Control_REP1
H2Bk15ac_VCAP_R1881_REP2,/input/input/SRR11518209.fastq.gz,,H2Bk15ac,H2Bk15ac_VCAP_Control_REP1
H2Bk15ac_VCAP_R1881_REP1,/input/input/SRR11518208.fastq.gz,,H2Bk15ac,H2Bk15ac_VCAP_Control_REP1
H2Bk15ac_VCAP_Daro_REP3,/input/input/SRR11518207.fastq.gz,,H2Bk15ac,H2Bk15ac_VCAP_Control_REP1
H2Bk15ac_VCAP_Daro_REP2,/input/input/SRR11518206.fastq.gz,,H2Bk15ac,H2Bk15ac_VCAP_Control_REP1
H2Bk15ac_VCAP_Daro_REP1,/input/input/SRR11518205.fastq.gz,,H2Bk15ac,H2Bk15ac_VCAP_Control_REP1
H2Bk15ac_VCAP_Control_REP1,/input/input/SRR11518202.fastq.gz,,,
FOXA1_VCaP_R1881_REP3,/input/input/SRR11518201.fastq.gz,,FOXA1,FOXA1_VCaP_Control_REP3
FOXA1_VCaP_R1881_REP2,/input/input/SRR11518200.fastq.gz,,FOXA1,FOXA1_VCaP_Control_REP2
FOXA1_VCaP_R1881_REP1,/input/input/SRR11518199.fastq.gz,,FOXA1,FOXA1_VCaP_Control_REP1
FOXA1_VCaP_Daro_REP3,/input/input/SRR11518198.fastq.gz,,FOXA1,FOXA1_VCaP_Control_REP3
FOXA1_VCaP_Daro_REP2,/input/input/SRR11518197.fastq.gz,,FOXA1,FOXA1_VCaP_Control_REP2
FOXA1_VCaP_Daro_REP1,/input/input/SRR11518196.fastq.gz,,FOXA1,FOXA1_VCaP_Control_REP1
FOXA1_VCaP_Control_REP3,/input/input/SRR11518195.fastq.gz,,,
FOXA1_VCaP_Control_REP2,/input/input/SRR11518194.fastq.gz,,,
FOXA1_VCaP_Control_REP1,/input/input/SRR11518193.fastq.gz,,,